series,metal,middle,structure_type,alpha,mode_label,metal_source,mos2_source,metal_matrix,mos2_matrix,metal_input_atoms,mos2_input_atoms,metal_supercell_atoms_one_electrode,mos2_supercell_atoms,sandwich_atoms_expected,max_allowed_other_strain_percent,target_policy,native_scale_mos2_to_metal,native_singular_value_1,native_singular_value_2,native_singular_value_spread,metal_reference_a_x,metal_reference_a_y,metal_reference_b_x,metal_reference_b_y,metal_reference_a_A,metal_reference_b_A,metal_reference_gamma_deg,metal_reference_area_A2,mos2_reference_a_x,mos2_reference_a_y,mos2_reference_b_x,mos2_reference_b_y,mos2_reference_a_A,mos2_reference_b_A,mos2_reference_gamma_deg,mos2_reference_area_A2,target_a_x,target_a_y,target_b_x,target_b_y,target_a_A,target_b_A,target_gamma_deg,target_area_A2,raw_mos2_to_metal_principal_strain_1_percent,raw_mos2_to_metal_principal_strain_2_percent,raw_mos2_to_metal_max_abs_principal_strain_percent,raw_mos2_to_metal_rms_principal_strain_percent,raw_mos2_to_metal_signed_area_strain_percent,raw_mos2_to_metal_deformation_gradient,metal_principal_strain_1_percent,metal_principal_strain_2_percent,metal_max_abs_principal_strain_percent,metal_rms_principal_strain_percent,metal_signed_area_strain_percent,metal_deformation_gradient,mos2_principal_strain_1_percent,mos2_principal_strain_2_percent,mos2_max_abs_principal_strain_percent,mos2_rms_principal_strain_percent,mos2_signed_area_strain_percent,mos2_deformation_gradient,interlayer_distance_A,actual_atoms,stem,vasp,cif,xyz,target_abs_metal_strain_percent,signed_target_metal_strain_percent,native_scale_metal_to_mos2,target_abs_mos2_strain_percent,signed_target_mos2_strain_percent
native_alpha,Au,MoS2,Au/MoS2/Au,0.5,native alpha=0.5; balanced shared strain,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.818025947538542,4.880964118184182,-2.818025947538541,-4.880964118184182,5.636051895077084,5.636051895077083,120.00000000000001,27.509367068095205,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-2.2734057349608316,-2.273405734960854,2.273405734960854,2.2734057349608428,-4.495127733564138,"[[0.9772659426503915, -0.0], [-0.0, 0.9772659426503917]]",2.326291785831902,2.32629178583188,2.326291785831902,2.326291785831891,4.706699906392086,"[[0.8861716816158933, -0.5116314589291594], [0.5116314589291594, 0.8861716816158938]]",3.25,41,Au_MoS2_Au_native_alpha_alpha0p500_d3p250A_41atoms_M2p273pct_MoS22p326pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p250A_41atoms_M2p273pct_MoS22p326pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p250A_41atoms_M2p273pct_MoS22p326pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p250A_41atoms_M2p273pct_MoS22p326pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,0.5,native alpha=0.5; balanced shared strain,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.818025947538542,4.880964118184182,-2.818025947538541,-4.880964118184182,5.636051895077084,5.636051895077083,120.00000000000001,27.509367068095205,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-2.2734057349608316,-2.273405734960854,2.273405734960854,2.2734057349608428,-4.495127733564138,"[[0.9772659426503915, -0.0], [-0.0, 0.9772659426503917]]",2.326291785831902,2.32629178583188,2.326291785831902,2.326291785831891,4.706699906392086,"[[0.8861716816158933, -0.5116314589291594], [0.5116314589291594, 0.8861716816158938]]",3.5,41,Au_MoS2_Au_native_alpha_alpha0p500_d3p500A_41atoms_M2p273pct_MoS22p326pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p500A_41atoms_M2p273pct_MoS22p326pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p500A_41atoms_M2p273pct_MoS22p326pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p500A_41atoms_M2p273pct_MoS22p326pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,0.5,native alpha=0.5; balanced shared strain,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.818025947538542,4.880964118184182,-2.818025947538541,-4.880964118184182,5.636051895077084,5.636051895077083,120.00000000000001,27.509367068095205,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-2.2734057349608316,-2.273405734960854,2.273405734960854,2.2734057349608428,-4.495127733564138,"[[0.9772659426503915, -0.0], [-0.0, 0.9772659426503917]]",2.326291785831902,2.32629178583188,2.326291785831902,2.326291785831891,4.706699906392086,"[[0.8861716816158933, -0.5116314589291594], [0.5116314589291594, 0.8861716816158938]]",3.75,41,Au_MoS2_Au_native_alpha_alpha0p500_d3p750A_41atoms_M2p273pct_MoS22p326pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p750A_41atoms_M2p273pct_MoS22p326pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p750A_41atoms_M2p273pct_MoS22p326pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d3p750A_41atoms_M2p273pct_MoS22p326pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,0.5,native alpha=0.5; balanced shared strain,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.818025947538542,4.880964118184182,-2.818025947538541,-4.880964118184182,5.636051895077084,5.636051895077083,120.00000000000001,27.509367068095205,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-2.2734057349608316,-2.273405734960854,2.273405734960854,2.2734057349608428,-4.495127733564138,"[[0.9772659426503915, -0.0], [-0.0, 0.9772659426503917]]",2.326291785831902,2.32629178583188,2.326291785831902,2.326291785831891,4.706699906392086,"[[0.8861716816158933, -0.5116314589291594], [0.5116314589291594, 0.8861716816158938]]",4.0,41,Au_MoS2_Au_native_alpha_alpha0p500_d4p000A_41atoms_M2p273pct_MoS22p326pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d4p000A_41atoms_M2p273pct_MoS22p326pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d4p000A_41atoms_M2p273pct_MoS22p326pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha0p500_d4p000A_41atoms_M2p273pct_MoS22p326pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",2.5,41,Au_MoS2_Au_native_alpha_alpha1p000_d2p500A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p500A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p500A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p500A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",2.75,41,Au_MoS2_Au_native_alpha_alpha1p000_d2p750A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p750A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p750A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d2p750A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",3.0,41,Au_MoS2_Au_native_alpha_alpha1p000_d3p000A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p000A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p000A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p000A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",3.25,41,Au_MoS2_Au_native_alpha_alpha1p000_d3p250A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p250A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p250A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p250A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",3.5,41,Au_MoS2_Au_native_alpha_alpha1p000_d3p500A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p500A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p500A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p500A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",3.75,41,Au_MoS2_Au_native_alpha_alpha1p000_d3p750A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p750A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p750A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d3p750A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
native_alpha,Au,MoS2,Au/MoS2/Au,1.0,"native alpha=1; metal fixed length, MoS2 strained",file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,native_alpha,1.0470669990639203,1.0470669990639208,1.04706699906392,6.661338147750939e-16,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",0.0,-1.1102230246251565e-14,1.1102230246251565e-14,7.850462293418876e-15,0.0,"[[0.9999999999999999, -0.0], [-0.0, 1.0]]",4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",4.0,41,Au_MoS2_Au_native_alpha_alpha1p000_d4p000A_41atoms_M0p000pct_MoS24p707pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d4p000A_41atoms_M0p000pct_MoS24p707pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d4p000A_41atoms_M0p000pct_MoS24p707pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_native_alpha_alpha1p000_d4p000A_41atoms_M0p000pct_MoS24p707pct.xyz,,,,,
metal_target_4p495pct,Au,MoS2,Au/MoS2/Au,,metal strain targeted to 4.495%; MoS2 strain recorded,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,metal_abs_strain_target,,,,,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.753964467335882,4.770006379665107,-2.7539644673358814,-4.770006379665107,5.507928934671764,5.507928934671764,120.00000000000001,26.27285615712634,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-4.4950000000000045,-4.495000000000015,4.495000000000015,4.49500000000001,-8.787949750000031,"[[0.95505, -0.0], [4.445773926795875e-17, 0.9550499999999998]]",0.00013374559972856304,0.00013374559970635858,0.00013374559972856304,0.0001337455997174608,0.00026749137828880606,"[[0.8660265620553085, -0.5000006687279984], [0.5000006687279986, 0.8660265620553088]]",2.5,41,Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p500A_41atoms_M4p495pct_MoS20p000pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p500A_41atoms_M4p495pct_MoS20p000pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p500A_41atoms_M4p495pct_MoS20p000pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p500A_41atoms_M4p495pct_MoS20p000pct.xyz,4.495,-4.495,0.9550487226643583,,
metal_target_4p495pct,Au,MoS2,Au/MoS2/Au,,metal strain targeted to 4.495%; MoS2 strain recorded,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,metal_abs_strain_target,,,,,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.753964467335882,4.770006379665107,-2.7539644673358814,-4.770006379665107,5.507928934671764,5.507928934671764,120.00000000000001,26.27285615712634,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-4.4950000000000045,-4.495000000000015,4.495000000000015,4.49500000000001,-8.787949750000031,"[[0.95505, -0.0], [4.445773926795875e-17, 0.9550499999999998]]",0.00013374559972856304,0.00013374559970635858,0.00013374559972856304,0.0001337455997174608,0.00026749137828880606,"[[0.8660265620553085, -0.5000006687279984], [0.5000006687279986, 0.8660265620553088]]",2.75,41,Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p750A_41atoms_M4p495pct_MoS20p000pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p750A_41atoms_M4p495pct_MoS20p000pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p750A_41atoms_M4p495pct_MoS20p000pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d2p750A_41atoms_M4p495pct_MoS20p000pct.xyz,4.495,-4.495,0.9550487226643583,,
metal_target_4p495pct,Au,MoS2,Au/MoS2/Au,,metal strain targeted to 4.495%; MoS2 strain recorded,file:../examples/structures/Au_111.cif,../examples/structures/MoS2.cif,"[[-2, 2], [0, -2]]","[[-1, 1], [-1, -2]]",4,3,16,9,41,6.0,metal_abs_strain_target,,,,,-2.8835814536787416,4.994509585534901,-2.8835814536787407,-4.994509585534901,5.767162907357483,5.767162907357483,120.00000000000001,28.804150422138274,-4.770000000000001,2.7539607840345144,0.0,-5.507921568069029,5.5079215680690305,5.507921568069029,119.99999999999999,26.272785879689277,-2.753964467335882,4.770006379665107,-2.7539644673358814,-4.770006379665107,5.507928934671764,5.507928934671764,120.00000000000001,26.27285615712634,4.706699906392076,4.706699906392009,4.706699906392076,4.706699906392043,9.634930052872397,"[[0.906786620653692, -0.5235334995319602], [0.5235334995319603, 0.9067866206536924]]",-4.4950000000000045,-4.495000000000015,4.495000000000015,4.49500000000001,-8.787949750000031,"[[0.95505, -0.0], [4.445773926795875e-17, 0.9550499999999998]]",0.00013374559972856304,0.00013374559970635858,0.00013374559972856304,0.0001337455997174608,0.00026749137828880606,"[[0.8660265620553085, -0.5000006687279984], [0.5000006687279986, 0.8660265620553088]]",3.0,41,Au_MoS2_Au_metal_target_4p495pct_alphanone_d3p000A_41atoms_M4p495pct_MoS20p000pct,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d3p000A_41atoms_M4p495pct_MoS20p000pct.vasp,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d3p000A_41atoms_M4p495pct_MoS20p000pct.cif,strain_targeted_metal_mos2_sandwiches/Au_MoS2_Au_metal_target_4p495pct_alphanone_d3p000A_41atoms_M4p495pct_MoS20p000pct.xyz,4.495,-4.495,0.9550487226643583,,
